,,,,,,,
,,Compras Online 2022,,,,,
,,Producto,Fecha,Tienda,Estado,Precio,Precio sin oferta
,,Amazon Basics - Bolsas para excrementos de perro con dispensador y clip para correa (300 bolsas),18/01/2022,amazon,Recibido,"5,71 €","7,23 €"
,,"Scottex Megarollo Papel Higiénico, 48 Megarollos (equivale a 96 rollos estándar)",19/01/2022,amazon,Recibido,"22,74 €","26,79 €"
,,2 x Organizador de cajón plegable para ropa interior,30/01/2022,aliexpress,Recibido,"6,67 €",
,,Lima de uñas profesional de media luna,30/01/2022,aliexpress,Recibido,"2,28 €",
,,"Alicates para la piel muerta de los dedos de los pies, tijeras de manicura",30/01/2022,aliexpress,Recibido,"4,26 €",
,,Organizador de cables de 5 metros,30/01/2022,aliexpress,Recibido,"1,83 €",
,,LACER pasta dentífrica antiplaca y anticaries con flúor pack 2 tubos 125 ml,01/02/2022,amazon,Recibido,"8,95 €",
,,Edredón acolchado con pestañas esquineras 150X220,01/03/2022,aliexpress,Recibido,"16,98 €","40,00 €"
,,"2 Scottex Megarollo Papel Higiénico, 48 Megarollos (equivale a 96 rollos estándar)",19/03/2022,amazon,Recibido,"32,00 €","26,79 €"
,,Cerveza 1906 Red Vintage Pack 24x33cl latas,23/03/2022,amazon,Recibido,"16,02 €","40,73 €"
,,"Juego de herramientas de reparación para el hogar, Kit de herramientas de limpieza con boquilla de pulverización de aerógrafo, juego de agujas y cepillos, limpiador",25/03/2022,aliexpress,Recibido,"1,62 €",
,,"Cepillo lateral FILTRO DE POLVO primario, almohadilla de mopa, filtro Hepa para chuwi ilife v5, v5s, V3, V3s, v5pro, x5, piezas de robot aspirador, accesorios",25/03/2022,aliexpress,Recibido,"14,55 €",
,,"2 Soporte de succión para cepillo de dientes, estante de pared para colgar en el baño, juegos de tazas, contenedor de cepillo de dientes",25/03/2022,aliexpress,Recibido,"2,80 €",
,,	LACER Pasta dental con Fluor DUPLO 2x125mL,15/04/2022,amazon,Recibido,"8,95 €",
,,Cerveza 1906 Reserva Especial - Paquete de 24 latas de 330 ml ,05/05/2022,amazon,Recibido,"19,5","21,20 €"
,,Pedido zooplus,09/05/2022,zooplus,Recibido,"61,12 €",
,,"Tapiz con mapa del mundo para colgar en la pared, alfombra decorativa psicodélica Hippie, Sábana de cama, decoración para el hogar",08/06/2022,aliexpress,Recibido,"19,06",
,,"Banco de gimnasio 6 en 1, tabla supina multifuncional, máquina abdominal plegable, equipo de ejercicio para fisicoculturismo en casa",16/06/2022,aliexpress,Recibido,"36,95 €","184,00 €"
,,Cerveza 1906 Red Vintage Pack 24x33cl latas,20/06/2022,amazon,Recibido,"17,10 €","22,80 €"
,,"Yeelight-bombilla LED inteligente W3, iluminación de luz YLDP005",16/06/2022,aliexpress,Recibido,"16,13 €",
,,Xiaomi NUN4126GL Monitor Temperatura y Humedad..,16/06/2022,amazon,Recibido,10.49,
,,"2 X Correa de silicona para reloj Amazfit Verge 3, repuesto de pulsera, para Xiaomi Huami Amazfit 3",29/07/2022,aliexpress,Recibido,"7,09 €",
,,"ZIPYRAN PLUS SABOR, ANTIPARASITARIO INTERNO - PACK : 4 unidades",04/08/2022,latiendadeconmiperro,Recibido,"21,50 €",
,,Escritorio Saloa + Sartenes,10/08/2022,ikea (cuenta elena),Recibido,"140,00 €",
,,"Organizador de Cajones 8 piezas, Cajas Bandejas de Plástico Apilables",12/08/2022,amazon,Recibido,"9,99 €",
,,Scottex Original Papel Higiénico - 96 Rollos,17/08/2022,amazon,Recibido,"26,98 €","31,74 €"
,,Cerveza 1906 Red Vintage Pack 24x33cl latas,20/06/2022,amazon,Recibido,"16,92 €","22,80 €"
,,Amazon Basics - Bolsas para excrementos de perro con dispensador y clip para correa (300 bolsas),25/09/2022,amazon,Recibido,"7,79 €",
,,Pedido zooplus,26/06/2022,zooplus,Recibido,"53,19 €",
,,"Libro Prohibido casar, papa!: 88 (Árbore)",29/06/2022,amazon,Recibido,"12,82 €",
,,"Libro Cuadernos de Teoría, Grado Elemental Volumen 2 (RM Teoria de la musica)",30/06/2022,amazon,Recibido,"17,53 €",
,,Libro El lenguaje de la música 2,01/07/2022,amazon,Recibido,"23,50 €",
,,Libro READY FOR TRINITY 5 6 LEVEL WITH AUDIO CD: Book + CD Grades 5-6,02/07/2022,amazon,Recibido,"23,61 €",
,,"Fairy Ultra Lavavajillas Líquido a Mano con LiftAction, 4 L (10 x 400 ml), Máximo Poder Antigrasa, Mega Pack",01/10/2022,amazon,Recibido,"10,29 €",
,,"Russell Hobbs Good To Go Multi Cooker - Capacidad 6,5L, 8 Funciones, Tecnología para Cocinar, Servir y Limpiar, Programación Digital, Temporizador",10/10/2022,amazon,Recibido,"56,99 €","79,99 €"
,,Cerveza 1906 Reserva Especial - Paquete de 24 latas de 330 ml ,26/10/2022,amazon,Recibido,"15,30 €","20,40 €"
,,Scottex Original Papel Higiénico - 96 Rollos,17/08/2022,amazon,Recibido,"26,98 €","31,74 €"
,,"Jack & Jones NOS Jjiliam Jjoriginal Agi 002 Noos, Vaqueros skinny Hombre, Azul (Blau ), W32/L32 (Talla del fabricante: 32)",12/11/2022,amazon,Recibido,"15,99 €","28,00 €"
,,"3 Gel de Baño Black, 650 Mililitros",25/11/2022,amazon,Recibido,"4,62 €",
,,"EGV Compatibile con Xiaomi Poco X3 Pro/Xiaomi Poco X3 NFC Protector de Pantalla,2 Pack Cristal Templado e 2 Pack Protector de Lente de Cámara",16/11/2022,amazon,Recibido,"11,99 €",
,,"QiaoFei Letras de neón, letreros de neón, decoración de pared rosa/decoración de mesa para el hogar, bar, Navidad, fiesta de cumpleaños, palabras del día de San Valentín, letras rosas (V)",23/12/2022,amazon,Recibido,"8,99 €",
,,"Ebook Escarlatina, a cociñeira defunta (INFANTIL E XUVENIL - MERLÍN E-book) (Galician Edition)",23/12/2022,amazon,Recibido,"5,69 €",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,TOTAL,,,,"832,98€",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,," 
",,,,,